id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1555357474869235712,1555355646995746816,2022-08-05 02:58:13 CEST,2022-08-05,02:58:13,+0200,1115433803873497088,helen20041808,Hobi IN THE BOX⁷,,@Megbtschipotle @BTS_twt Confirmo mi #BadDecisions fue elegir una carrera al último momento porque nada me convenció,es,[],[],[],0,0,2,['baddecisions'],[],https://twitter.com/Helen20041808/status/1555357474869235712,False,,0,,,,,,,,"[{'screen_name': 'Megbtschipotle', 'name': '🃏Megcito⁷彡 ◡̈ ᴘʀᴏᴏғ⁹(slow)', 'id': '992178774'}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': '335141638'}]",,,,
1555351699224596480,1555351699224596480,2022-08-05 02:35:16 CEST,2022-08-05,02:35:16,+0200,1656191162,melkitaulamun_6,𝓒𝓸𝓷𝓲 🍁,,"Casi siempre me pregunto, que fue lo que llevo a la pequeña Ro q elegir esta carrera. Si hubiese elegido el prof de educación física...",es,[],[],[],0,0,0,[],[],https://twitter.com/Melkitaulamun_6/status/1555351699224596480,False,,0,,,,,,,,[],,,,
1555349532854083585,1555349532854083585,2022-08-05 02:26:40 CEST,2022-08-05,02:26:40,+0200,1852694077,salzari04,so,,no se quien dijo que teníamos que elegir una carrera a los 17 años pero la puta madre,es,[],[],[],0,0,0,[],[],https://twitter.com/sAlzari04/status/1555349532854083585,False,,0,,,,,,,,[],,,,
1555348129909809152,1555348129909809152,2022-08-05 02:21:05 CEST,2022-08-05,02:21:05,+0200,1319705247745540096,cande_b8,Cann🌻,,porq no puedo elegir una carrera más fácil?😭,es,[],[],[],0,0,0,[],[],https://twitter.com/Cande_b8/status/1555348129909809152,False,,0,,,,,,,,[],,,,
1555344382349529090,1555344382349529090,2022-08-05 02:06:12 CEST,2022-08-05,02:06:12,+0200,1250842559989121028,freak91s,val; VI A LOUIS,,que dificil esto de elegir una carrera,es,[],[],[],0,0,0,[],[],https://twitter.com/freak91s/status/1555344382349529090,False,,0,,,,,,,,[],,,,
1555342688530141185,1555342688530141185,2022-08-05 01:59:28 CEST,2022-08-05,01:59:28,+0200,1553441686512091136,phhnovia,abril,,no se que mierda va a ser de mi sabiendo que quedan 4 meses para terminar el colegio y elegir una carrera,es,[],[],[],0,0,0,[],[],https://twitter.com/phhnovia/status/1555342688530141185,False,,0,,,,,,,,[],,,,
1555341490901106694,1555341490901106694,2022-08-05 01:54:42 CEST,2022-08-05,01:54:42,+0200,1541103827574734849,sbav__,sofaxha,,fácil elegir carrera con 17 deja,es,[],[],[],0,0,0,[],[],https://twitter.com/sbav__/status/1555341490901106694,False,,0,,,,,,,,[],,,,
1555335031220244480,1555335031220244480,2022-08-05 01:29:02 CEST,2022-08-05,01:29:02,+0200,1119772807297163264,sofisanchezzq,sofi,,q difícil es elegir alguna carrera q me guste 💆🏼‍♀️💆🏼‍♀️,es,[],[],[],0,0,0,[],[],https://twitter.com/sofisanchezzq/status/1555335031220244480,False,,0,,,,,,,,[],,,,
1555334320121753601,1555334320121753601,2022-08-05 01:26:13 CEST,2022-08-05,01:26:13,+0200,1464452663257485317,brisbulacio,Bri 🦋,,Que momento difícil este cuando tenés que elegir que carrera seguir y que te estén metiendo presión de todos lados :(,es,[],[],[],0,1,3,[],[],https://twitter.com/Brisbulacio/status/1555334320121753601,False,,0,,,,,,,,[],,,,
1555323447470968833,1555323447470968833,2022-08-05 00:43:01 CEST,2022-08-05,00:43:01,+0200,1307190138099896321,gonnzaaalez_,"Rochet, despues la vida",,que complicado es elegir una carrera 🥲,es,[],[],[],0,1,2,[],[],https://twitter.com/Gonnzaaalez_/status/1555323447470968833,False,,0,,,,,,,,[],,,,
1555319262969040897,1555317604214079494,2022-08-05 00:26:23 CEST,2022-08-05,00:26:23,+0200,3234332120,loswebosdegomez,higo chumbo,,@mechawitch yo más o menos también me equivoqué al elegir carrera en plan no cogí mi pasión ni nada pero este último año he cogido el mindset de dedicar mi tiempo libre a mis pasiones sin el agobio de la realización laboral etc y no me va mal,es,[],[],[],1,0,1,[],[],https://twitter.com/loswebosdegomez/status/1555319262969040897,False,,0,,,,,,,,"[{'screen_name': 'mechawitch', 'name': 'irene', 'id': '1132041392388280322'}]",,,,
1555315588595011584,1555315588595011584,2022-08-05 00:11:47 CEST,2022-08-05,00:11:47,+0200,1481084874,fuckchinaski,CADAVER IMPOSIBLE🪢,,#convoyVsLabasura ¿me estás preguntando que si Joaquin Phoenix puede elegir mal papeles y manchar el legado de su carrera? La respuesta es: Robert De Niro y AlPacino @Olallo_Rubio,es,"[{'screen_name': 'olallo_rubio', 'name': 'olallo rubio', 'id': '23733489'}]",[],[],0,0,0,['convoyvslabasura'],[],https://twitter.com/FuckChinaski/status/1555315588595011584,False,,0,,,,,,,,[],,,,
1555313302074318848,1555313302074318848,2022-08-05 00:02:42 CEST,2022-08-05,00:02:42,+0200,125417154,tron_1971,Ignacio,,"Difícil elegir al más #Aweonao. Se supone que era Schalper, Chahuan entró a la carrera, por los palos con Camilita Peluche Flores, pero Gaspar Rivas hoy les mató el punto a todos. Epico el nazi. #DerechaMiserable #AprueboCrece",es,[],[],[],1,10,23,"['aweonao', 'derechamiserable', 'apruebocrece']",[],https://twitter.com/Tron_1971/status/1555313302074318848,False,,0,,,,,,,,[],,,,
1555312038557122560,1555312038557122560,2022-08-04 23:57:40 CEST,2022-08-04,23:57:40,+0200,1481276402406244354,mo0ntears,yei🌙,,Me es más fácil encontrar albums de $400 que elegir mi carrera,es,[],[],[],0,0,0,[],[],https://twitter.com/mo0ntears/status/1555312038557122560,False,,0,,,,,,,,[],,,,
1555310289389867008,1555310289389867008,2022-08-04 23:50:43 CEST,2022-08-04,23:50:43,+0200,125120661,clonazepan69,clonazepan1312,,ese delicado momento q debes elegir seguir laburando o terminar la carrera xd,es,[],[],[],0,0,0,[],[],https://twitter.com/clonazepan69/status/1555310289389867008,False,,0,,,,,,,,[],,,,
1555307994094751744,1555307994094751744,2022-08-04 23:41:36 CEST,2022-08-04,23:41:36,+0200,1497628962025054208,camilavoituretb,Camiii✨,,Dios que difícil es elegir una carrera 🥴,es,[],[],[],0,0,0,[],[],https://twitter.com/Camilavoituretb/status/1555307994094751744,False,,0,,,,,,,,[],,,,
1555305085579628545,1555020271496486912,2022-08-04 23:30:03 CEST,2022-08-04,23:30:03,+0200,3126746327,goldikuz,Eduardo,,"@PK_Mackenna Oye, que triste debe ser partir la carrera a la mitad y ver cómo tus colegas ya van a metros de ti. Tu poco objetividad es un signo de tus capacidades, tal vez. Como no saber elegir la idea principal y dejarte llevar por tus dogmas.",es,[],[],[],2,0,0,[],[],https://twitter.com/goldikuz/status/1555305085579628545,False,,0,,,,,,,,"[{'screen_name': 'PK_Mackenna', 'name': 'Pedro Mackenna', 'id': '774276664549314564'}]",,,,
1555303513252577282,1555261721425678336,2022-08-04 23:23:48 CEST,2022-08-04,23:23:48,+0200,1164874940421672960,beforeofthefall,Scrubs,,@gavrinis__ Te da igual quién los ponga. Sabes de sobra que aunque se elijan entre ellos lo harán como los políticos. Un juez de derechas no va a  elegir a jueces de izquierdas que puedan joderle algo que haya dictado sentencia. Y luego esta el tema del acceso a la carrera judicial,es,[],[],[],1,0,0,[],[],https://twitter.com/BeforeOfTheFall/status/1555303513252577282,False,,0,,,,,,,,"[{'screen_name': 'gavrinis__', 'name': 'gavrinis_', 'id': '1526271187667587074'}]",,,,
1555303065254629376,1555303065254629376,2022-08-04 23:22:01 CEST,2022-08-04,23:22:01,+0200,764685273007620100,unmaurofrancis,Mauro Francisco,,Momentos de tensión en los cuales uno tiene que ver los pro y contra. Fue mucho más fácil elegir una carrera para estudia,es,[],[],[],0,0,2,[],[],https://twitter.com/UnMauroFrancis/status/1555303065254629376,False,https://twitter.com/MGasciunas/status/1555290523459534855,0,,,,,,,,[],,,,
1555284165796528129,1555284165796528129,2022-08-04 22:06:55 CEST,2022-08-04,22:06:55,+0200,1396619285091520516,hiparquiademaro,Mareada 🦋,,La regué muy brutal eligiendo Administración Pública y no Ciencias Políticas ya sé.  Wuey por qué pinches dividieron la carrera si en las otras facus no te tienes que elegir especialidad ?,es,[],[],[],0,0,0,[],[],https://twitter.com/HiparquiadeMaro/status/1555284165796528129,False,,0,,,,,,,,[],,,,
1555281709989613568,1555281709989613568,2022-08-04 21:57:10 CEST,2022-08-04,21:57:10,+0200,1109935369833889792,samiiranadiir,𝑪𝒐𝒍𝒐𝒓𝒂𝒅𝒂,,Ya me estrése con solo pensar que carrera voy a elegir al final,es,[],[],[],0,0,0,[],[],https://twitter.com/SamiiraNadiir/status/1555281709989613568,False,,0,,,,,,,,[],,,,
1555277998143574016,1555254337617674244,2022-08-04 21:42:25 CEST,2022-08-04,21:42:25,+0200,1515107460020793344,vivi_dls07,vivi,,"@julylvscats Si me siento un poco estresada, y pensar en equivocarme me estresa más pero igual y puedo cambiar de carrera no es el fin del mundo, hay tantas carreras algo debe ser para mi solo debo relajarme investigar tomarme mi tiempo y elegir con lo que me sienta cómoda gracias y suertee❤️",es,[],[],[],1,0,1,[],[],https://twitter.com/Vivi_dls07/status/1555277998143574016,False,,0,,,,,,,,"[{'screen_name': 'julylvscats', 'name': '🦆 july ⚢︎', 'id': '1497025908451987457'}]",,,,
